Dataset,Model,AUC,ACC,LOSS,n_samples
Fish,TS2Vec,0.610324,0.131429,0.414125,175
Fish,Two-Tower,0.928492,0.760000,0.184456,175
FordA,FEDformer,0.700096,0.643939,0.637196,1320
FordA,Informer,0.924216,0.827273,0.337816,1320
FordA,TS2Vec,0.961844,0.903030,0.389541,1320
FordA,Two-Tower,0.582592,0.568939,0.694685,1320
FordB,FEDformer,0.640081,0.601235,0.721945,810
FordB,Informer,0.733643,0.665432,0.740526,810
FordB,TS2Vec,0.816852,0.756790,0.549158,810
FordB,Two-Tower,0.492455,0.502469,0.693945,810
FreezerRegularTrain,FEDformer,0.981125,0.927719,0.405084,2850
FreezerRegularTrain,Informer,0.816702,0.778947,0.529237,2850
FreezerRegularTrain,TS2Vec,0.817311,0.776842,0.659120,2850
FreezerRegularTrain,Two-Tower,0.943235,0.931930,0.256584,2850
FreezerSmallTrain,FEDformer,0.953242,0.792632,0.660786,2850
FreezerSmallTrain,Informer,0.794904,0.751228,0.556167,2850
FreezerSmallTrain,TS2Vec,0.847287,0.799649,0.681164,2850
FreezerSmallTrain,Two-Tower,0.834136,0.755789,0.523981,2850
GestureMidAirD1,FEDformer,0.708985,0.153846,0.155393,130
GestureMidAirD1,Informer,0.686585,0.038462,0.167904,130
GestureMidAirD1,TS2Vec,0.556985,0.138462,0.205854,130
GestureMidAirD1,Two-Tower,0.950523,0.561538,0.078192,130
GestureMidAirD2,FEDformer,0.697292,0.138462,0.155959,130
GestureMidAirD2,Informer,0.730831,0.053846,0.167650,130
GestureMidAirD2,TS2Vec,0.565108,0.069231,0.196700,130
GestureMidAirD2,Two-Tower,0.958462,0.523077,0.082428,130
GestureMidAirD3,FEDformer,0.664246,0.115385,0.158351,130
GestureMidAirD3,Informer,0.686400,0.038462,0.167870,130
GestureMidAirD3,TS2Vec,0.532677,0.038462,0.198979,130
GestureMidAirD3,Two-Tower,0.912123,0.469231,0.103979,130
GesturePebbleZ1,FEDformer,0.770214,0.360465,0.377422,172
GesturePebbleZ1,Informer,0.818455,0.453488,0.399438,172
GesturePebbleZ1,TS2Vec,0.532639,0.168605,0.456602,172
GesturePebbleZ1,Two-Tower,0.962838,0.825581,0.181829,172
GesturePebbleZ2,FEDformer,0.782490,0.398734,0.377654,158
GesturePebbleZ2,Informer,0.803323,0.468354,0.392224,158
GesturePebbleZ2,TS2Vec,0.534675,0.208861,0.451984,158
GesturePebbleZ2,Two-Tower,0.957379,0.791139,0.212573,158
GunPoint,FEDformer,0.992710,0.946667,0.311644,150
GunPoint,Informer,0.851707,0.726667,0.585844,150
GunPoint,TS2Vec,0.387624,0.493333,0.696384,150
GunPoint,Two-Tower,0.977418,0.913333,0.309819,150
GunPointAgeSpan,FEDformer,0.998397,0.971519,0.092742,316
GunPointAgeSpan,Informer,0.978646,0.917722,0.234265,316
GunPointAgeSpan,TS2Vec,0.800280,0.727848,0.678459,316
GunPointAgeSpan,Two-Tower,0.984696,0.927215,0.179953,316
GunPointMaleVersusFemale,FEDformer,0.995341,0.987342,0.155511,316
GunPointMaleVersusFemale,Informer,0.997590,0.939873,0.157441,316
GunPointMaleVersusFemale,TS2Vec,0.995863,0.822785,0.629623,316
GunPointMaleVersusFemale,Two-Tower,0.998956,0.984177,0.041057,316
GunPointOldVersusYoung,FEDformer,0.971354,0.926984,0.281282,315
GunPointOldVersusYoung,Informer,0.938061,0.885714,0.351405,315
GunPointOldVersusYoung,TS2Vec,0.694747,0.634921,0.678243,315
GunPointOldVersusYoung,Two-Tower,0.987313,0.961905,0.175401,315
Ham,FEDformer,0.803195,0.695238,0.650776,105
Ham,Informer,0.722222,0.676190,0.640748,105
Ham,TS2Vec,0.695352,0.523810,0.687616,105
Ham,Two-Tower,0.833333,0.714286,0.516650,105
HandOutlines,FEDformer,0.906602,0.848649,0.374991,370
HandOutlines,Informer,0.929920,0.897297,0.298742,370
HandOutlines,TS2Vec,0.726500,0.640541,0.638228,370
HandOutlines,Two-Tower,0.928682,0.905405,0.312376,370
Haptics,FEDformer,0.601849,0.288961,0.493692,308
Haptics,Informer,0.676974,0.318182,0.506627,308
Haptics,TS2Vec,0.510806,0.198052,0.517839,308
Haptics,Two-Tower,0.730703,0.431818,0.496161,308
Herring,FEDformer,0.517206,0.593750,0.677051,64
Herring,Informer,0.519231,0.593750,0.677623,64
Herring,TS2Vec,0.459514,0.593750,0.676289,64
Herring,Two-Tower,0.574899,0.593750,0.673436,64
HouseTwenty,FEDformer,0.985797,0.974790,0.272229,119
HouseTwenty,Informer,0.894493,0.840336,0.456797,119
HouseTwenty,TS2Vec,0.426377,0.411765,0.695017,119
HouseTwenty,Two-Tower,0.871304,0.840336,0.454864,119
