Dataset,FEDformer AUC,FEDformer ACC,FEDformer LOSS,FEDformer N,Informer AUC,Informer ACC,Informer LOSS,Informer N,TS2Vec AUC,TS2Vec ACC,TS2Vec LOSS,TS2Vec N,Two-Tower AUC,Two-Tower ACC,Two-Tower LOSS,Two-Tower N
Haptics,0.601849,0.288961,0.493692,308,0.676974,0.318182,0.506627,308,0.510806,0.198052,0.517839,308,0.730703,0.431818,0.496161,308
Herring,0.517206,0.593750,0.677051,64,0.519231,0.593750,0.677623,64,0.459514,0.593750,0.676289,64,0.574899,0.593750,0.673436,64
HouseTwenty,0.985797,0.974790,0.272229,119,0.894493,0.840336,0.456797,119,0.426377,0.411765,0.695017,119,0.871304,0.840336,0.454864,119
InlineSkate,0.586514,0.169091,0.402023,550,0.574775,0.190909,0.417981,550,0.492824,0.085455,0.461325,550,0.556289,0.160000,0.445015,550
InsectEPGRegularTrain,0.840911,0.730924,0.468776,249,0.822042,0.714859,0.464319,249,0.644267,0.522088,0.610188,249,0.838442,0.690763,0.415487,249
InsectEPGSmallTrain,0.829956,0.670683,0.539068,249,0.823634,0.686747,0.550176,249,0.730585,0.670683,0.645129,249,0.802432,0.650602,0.475339,249
InsectWingbeatSound,0.858854,0.472727,0.250656,1980,0.740741,0.248990,0.298890,1980,0.607758,0.162121,0.306992,1980,0.939300,0.626263,0.159005,1980
ItalyPowerDemand,0.927561,0.841440,0.392218,1028,0.954045,0.907588,0.386705,1028,0.870399,0.824903,0.683218,1028,0.989754,0.950389,0.222850,1028
LargeKitchenAppliances,0.273016,0.235294,0.703457,17,0.428571,0.411765,0.694663,17,0.496825,0.294118,0.737854,17,0.461905,0.176471,0.676849,17
Lightning2,0.656926,0.557377,0.669692,61,0.743506,0.606557,0.639860,61,0.597403,0.540984,0.680183,61,0.751082,0.704918,0.619484,61
Lightning7,0.695947,0.356164,0.385363,73,0.842440,0.424658,0.372924,73,0.520378,0.315068,0.464630,73,0.945413,0.684932,0.216022,73
Mallat,0.779987,0.123241,0.386223,2345,0.737674,0.123241,0.412380,2345,0.426823,0.093817,0.468630,2345,0.991514,0.795309,0.115975,2345
Meat,0.922917,0.550000,0.629892,60,0.755417,0.416667,0.635308,60,0.772500,0.333333,0.640251,60,0.970833,0.866667,0.520253,60
MedicalImages,0.820925,0.555263,0.202371,760,0.757762,0.511842,0.234506,760,0.501558,0.514474,0.256008,760,0.909575,0.614474,0.169945,760
MelbournePedestrian,0.955186,0.786804,0.125555,2425,0.952706,0.769072,0.136253,2425,0.844962,0.565361,0.287788,2425,0.952644,0.789278,0.116650,2425
