Dataset,Model,AUC,ACC,LOSS,n_samples
InsectEPGSmallTrain,Correlation Two-Tower,0.800545,0.654618,0.476254,249
InsectEPGSmallTrain,Transformer-only,0.777285,0.650602,0.506007,249
InsectEPGSmallTrain,Two-Tower,0.802432,0.650602,0.475339,249
InsectWingbeatSound,Correlation Two-Tower,0.939594,0.625758,0.158458,1980
InsectWingbeatSound,Transformer-only,0.938951,0.633838,0.156202,1980
InsectWingbeatSound,Two-Tower,0.939300,0.626263,0.159005,1980
ItalyPowerDemand,Correlation Two-Tower,0.975798,0.927043,0.292319,1028
ItalyPowerDemand,Transformer-only,0.987581,0.940661,0.293881,1028
ItalyPowerDemand,Two-Tower,0.989754,0.950389,0.222850,1028
LargeKitchenAppliances,Correlation Two-Tower,0.449206,0.176471,0.681810,17
LargeKitchenAppliances,Transformer-only,0.436508,0.235294,0.672379,17
LargeKitchenAppliances,Two-Tower,0.461905,0.176471,0.676849,17
Lightning2,Correlation Two-Tower,0.751082,0.704918,0.617623,61
Lightning2,Transformer-only,0.770563,0.737705,0.618196,61
Lightning2,Two-Tower,0.751082,0.704918,0.619484,61
Lightning7,Correlation Two-Tower,0.944529,0.684932,0.216834,73
Lightning7,Transformer-only,0.931496,0.671233,0.222534,73
Lightning7,Two-Tower,0.945413,0.684932,0.216022,73
Mallat,Correlation Two-Tower,0.991339,0.798294,0.115859,2345
Mallat,Transformer-only,0.991422,0.806823,0.119706,2345
Mallat,Two-Tower,0.991514,0.795309,0.115975,2345
Meat,Correlation Two-Tower,0.846667,0.583333,0.561399,60
Meat,Transformer-only,0.887083,0.866667,0.619437,60
Meat,Two-Tower,0.970833,0.866667,0.520253,60
MedicalImages,Correlation Two-Tower,0.909391,0.617105,0.170521,760
MedicalImages,Transformer-only,0.903665,0.600000,0.174227,760
MedicalImages,Two-Tower,0.909575,0.614474,0.169945,760
MelbournePedestrian,Correlation Two-Tower,0.948639,0.779794,0.120832,2425
MelbournePedestrian,Transformer-only,0.946984,0.783505,0.126103,2425
MelbournePedestrian,Two-Tower,0.952644,0.789278,0.116650,2425
MiddlePhalanxOutlineAgeGroup,Correlation Two-Tower,0.606862,0.605442,0.542638,147
MiddlePhalanxOutlineAgeGroup,Transformer-only,0.590605,0.605442,0.561271,147
MiddlePhalanxOutlineAgeGroup,Two-Tower,0.573144,0.625850,0.551797,147
MiddlePhalanxOutlineCorrect,Correlation Two-Tower,0.848197,0.760870,0.492895,276
MiddlePhalanxOutlineCorrect,Transformer-only,0.861259,0.768116,0.484670,276
MiddlePhalanxOutlineCorrect,Two-Tower,0.867494,0.786232,0.468025,276
MiddlePhalanxTW,Correlation Two-Tower,0.638951,0.409091,0.443877,110
MiddlePhalanxTW,Transformer-only,0.668737,0.445455,0.437108,110
MiddlePhalanxTW,Two-Tower,0.653806,0.427273,0.441644,110
MixedShapesRegularTrain,Correlation Two-Tower,0.958182,0.840412,0.173065,2425
MixedShapesRegularTrain,Transformer-only,0.956696,0.847010,0.175140,2425
MixedShapesRegularTrain,Two-Tower,0.958653,0.841237,0.172385,2425
MixedShapesSmallTrain,Correlation Two-Tower,0.920021,0.743505,0.253733,2425
MixedShapesSmallTrain,Transformer-only,0.900615,0.670928,0.285215,2425
MixedShapesSmallTrain,Two-Tower,0.919892,0.743093,0.254110,2425
MoteStrain,Correlation Two-Tower,0.954151,0.878029,0.365215,1238
MoteStrain,Transformer-only,0.941171,0.869952,0.417323,1238
MoteStrain,Two-Tower,0.961265,0.890953,0.348998,1238
NonInvasiveFetalECGThorax1,Correlation Two-Tower,0.993932,0.869211,0.021050,1965
NonInvasiveFetalECGThorax1,Transformer-only,0.995227,0.836132,0.022228,1965
NonInvasiveFetalECGThorax1,Two-Tower,0.993971,0.870738,0.020920,1965
NonInvasiveFetalECGThorax2,Correlation Two-Tower,0.995167,0.899746,0.016303,1965
NonInvasiveFetalECGThorax2,Transformer-only,0.996887,0.924173,0.012829,1965
NonInvasiveFetalECGThorax2,Two-Tower,0.995242,0.899237,0.016118,1965
OSULeaf,Correlation Two-Tower,0.734506,0.458678,0.416987,242
OSULeaf,Transformer-only,0.719137,0.421488,0.421822,242
OSULeaf,Two-Tower,0.723120,0.458678,0.423009,242
OliveOil,Correlation Two-Tower,0.799801,0.400000,0.508988,30
OliveOil,Transformer-only,0.553712,0.400000,0.535570,30
OliveOil,Two-Tower,0.956594,0.400000,0.507742,30
PLAID,Correlation Two-Tower,0.897587,0.675978,0.169414,537
PLAID,Transformer-only,0.885718,0.651769,0.174250,537
PLAID,Two-Tower,0.887662,0.662942,0.172782,537
PhalangesOutlinesCorrect,Correlation Two-Tower,0.836751,0.785235,0.464682,596
PhalangesOutlinesCorrect,Transformer-only,0.829188,0.773490,0.476032,596
PhalangesOutlinesCorrect,Two-Tower,0.851369,0.805369,0.442758,596
Phoneme,Correlation Two-Tower,0.533563,0.109293,0.115446,1894
Phoneme,Transformer-only,0.487873,0.090813,0.113052,1894
Phoneme,Two-Tower,0.535178,0.109293,0.115262,1894
PickupGestureWiimoteZ,Correlation Two-Tower,0.897333,0.640000,0.201743,50
PickupGestureWiimoteZ,Transformer-only,0.892000,0.620000,0.203207,50
PickupGestureWiimoteZ,Two-Tower,0.897333,0.640000,0.202042,50
PigAirwayPressure,Correlation Two-Tower,0.470541,0.019231,0.099980,208
PigAirwayPressure,Transformer-only,0.435850,0.014423,0.109822,208
PigAirwayPressure,Two-Tower,0.467642,0.019231,0.099967,208
PigArtPressure,Correlation Two-Tower,0.477965,0.033654,0.098173,208
PigArtPressure,Transformer-only,0.474571,0.096154,0.103704,208
PigArtPressure,Two-Tower,0.478790,0.028846,0.098169,208
PigCVP,Correlation Two-Tower,0.488523,0.014423,0.098102,208
PigCVP,Transformer-only,0.430666,0.024038,0.105407,208
PigCVP,Two-Tower,0.487368,0.014423,0.098138,208
Plane,Correlation Two-Tower,0.997682,0.971429,0.054460,105
Plane,Transformer-only,0.994878,0.961905,0.063985,105
Plane,Two-Tower,0.997893,0.961905,0.055607,105
PowerCons,Correlation Two-Tower,0.989136,0.972222,0.138104,180
PowerCons,Transformer-only,0.983333,0.961111,0.162620,180
PowerCons,Two-Tower,0.988148,0.972222,0.142302,180
ProximalPhalanxOutlineAgeGroup,Correlation Two-Tower,0.808583,0.764151,0.354028,106
ProximalPhalanxOutlineAgeGroup,Transformer-only,0.818576,0.773585,0.348258,106
ProximalPhalanxOutlineAgeGroup,Two-Tower,0.814645,0.754717,0.362090,106
ProximalPhalanxOutlineCorrect,Correlation Two-Tower,0.964151,0.909091,0.187540,121
ProximalPhalanxOutlineCorrect,Transformer-only,0.965409,0.942149,0.170947,121
ProximalPhalanxOutlineCorrect,Two-Tower,0.968553,0.942149,0.172647,121
ProximalPhalanxTW,Correlation Two-Tower,0.892316,0.723577,0.274328,123
ProximalPhalanxTW,Transformer-only,0.905414,0.707317,0.264355,123
ProximalPhalanxTW,Two-Tower,0.909372,0.756098,0.269882,123
RefrigerationDevices,Correlation Two-Tower,0.647381,0.467033,0.747033,364
RefrigerationDevices,Transformer-only,0.619125,0.398352,0.772463,364
RefrigerationDevices,Two-Tower,0.645533,0.467033,0.751124,364
Rock,Correlation Two-Tower,0.953232,0.880000,0.178722,50
Rock,Transformer-only,0.957037,0.920000,0.176804,50
Rock,Two-Tower,0.953146,0.880000,0.179190,50
ScreenType,Correlation Two-Tower,0.631606,0.466667,0.636566,60
ScreenType,Transformer-only,0.620178,0.516667,0.599691,60
ScreenType,Two-Tower,0.630590,0.433333,0.635541,60
SemgHandGenderCh2,Correlation Two-Tower,0.888987,0.796667,0.436155,600
SemgHandGenderCh2,Transformer-only,0.870085,0.775000,0.471895,600
SemgHandGenderCh2,Two-Tower,0.895470,0.805000,0.426804,600
SemgHandMovementCh2,Correlation Two-Tower,0.724296,0.326667,0.419235,450
SemgHandMovementCh2,Transformer-only,0.725061,0.368889,0.417614,450
